Command	Type
algisassociative	entity.name.function	algisassociative(mt,p=0): true (1) if the multiplication table mt is suitable for algtableinit(mt,p), false (0) otherwise.
algiscommutative	entity.name.function	algiscommutative(al): test whether the algebra al is commutative.
algisdivision	entity.name.function	algisdivision(al,{pl}): tests whether the central simple algebra al is a division algebra. If pl is set, it should be a prime ideal of the center or an integer between 1 and r1+r2, and in that case tests whether al is locally a division algebra at the place pl instead.
algisdivl	entity.name.function	algisdivl(al,x,y,{&z}): tests whether y is left divisible by x and sets z to the left quotient x\y.
algisinv	entity.name.function	algisinv(al,x,{&ix}): tests whether x is invertible and sets ix to the inverse of x.
algisramified	entity.name.function	algisramified(al,{pl}): tests whether the central simple algebra al is ramified, i.e. not isomorphic to a matrix ring over its center. If pl is set, it should be a prime ideal of the center or an integer between 1 and r1+r2, and in that case tests whether al is locally ramified at the place pl instead.
algissemisimple	entity.name.function	algissemisimple(al): test whether the algebra al is semisimple.
algissimple	entity.name.function	algissimple(al, {ss = 0}): test whether the algebra al is simple.
algissplit	entity.name.function	algissplit(al,{pl}): tests whether the central simple algebra al is split, i.e. isomorphic to a matrix ring over its center. If pl is set, it should be a prime ideal of the center or an integer between 1 and r1+r2, and in that case tests whether al is locally split at the place pl instead.
alglatadd	entity.name.function	alglatadd(al,lat1,lat2,{&ptinter}): the sum of the lattices lat1 and lat2. If ptinter is present, set it to the intersection of the lattices.
alglatcontains	entity.name.function	alglatcontains(al,lat,x,{&ptc}): tests whether the lattice lat contains the element x. If ptc is present, sets it to the coordinates of x on the basis of lat.
alglatelement	entity.name.function	alglatelement(al,lat,c): returns the element of al whose coordinates on the Z-basis of lat are c.
alglathnf	entity.name.function	alglathnf(al,m,{d=0}): the lattice generated by the columns of m, assuming that this lattice contains d times the integral basis of al.
alglatindex	entity.name.function	alglatindex(al,lat1,lat2): the generalized index (lat2:lat1).
alglatinter	entity.name.function	alglatinter(al,lat1,lat2,{&ptsum}): the intersection of the lattices lat1 and lat2. If ptsum is present, sets it to the sum of the lattices.
alglatlefttransporter	entity.name.function	alglatlefttransporter(al,lat1,lat2): the set of x in al such that x*lat1 is contained in lat2.
alglatmul	entity.name.function	alglatmul(al,lat1,lat2): the lattice generated by the products of elements of lat1 and lat2.
alglatrighttransporter	entity.name.function	alglatrighttransporter(al,lat1,lat2): the set of x in al such that lat1*x is contained in lat2.
alglatsubset	entity.name.function	alglatsubset(al,lat1,lat2,{&ptindex}): tests whether lat1 is contained in lat2 and if true and ptindex is present, sets it to the index (lat2:lat1).
algmakeintegral	entity.name.function	algmakeintegral(mt,{maps=0}): computes an integral multiplication table for an isomorphic algebra.
algmul	entity.name.function	algmul(al,x,y): element x*y in al.
algmultable	entity.name.function	algmultable(al): multiplication table of al over its prime subfield.
algneg	entity.name.function	algneg(al,x): element -x in al.
algnorm	entity.name.function	algnorm(al,x,{abs=0}): (reduced) norm of x.
algpoleval	entity.name.function	algpoleval(al,T,b): T in K[X] evaluate T(b) in al.
algpow	entity.name.function	algpow(al,x,n): element x^n in al.
algprimesubalg	entity.name.function	algprimesubalg(al): prime subalgebra of the positive characteristic, semisimple algebra al.
algquotient	entity.name.function	algquotient(al,I,{maps=0}): quotient of the algebra al by the two-sided ideal I.
algradical	entity.name.function	algradical(al): Jacobson radical of the algebra al.
algramifiedplaces	entity.name.function	algramifiedplaces(al): vector of the places of the center of al that ramify in al. Each place is described as an integer between 1 and r1 or as a prime ideal.
algrandom	entity.name.function	algrandom(al,b): random element in al with coefficients in [-b,b].
algrelmultable	entity.name.function	algrelmultable(al): multiplication table of the central simple algebra al over its center.
algsimpledec	entity.name.function	algsimpledec(al,{maps=0}): [J,dec] where J is the Jacobson radical of al and dec is the decomposition into simple algebras of the semisimple algebra al/J.
algsplit	entity.name.function	algsplit(al,{v='x}): computes an isomorphism between al and M_d(F_q).
algsplittingdata	entity.name.function	algsplittingdata(al): data stored in the central simple algebra al to compute a splitting of al over an extension.
algsplittingfield	entity.name.function	algsplittingfield(al): the stored splitting field of the central simple algebra al.
algsqr	entity.name.function	algsqr(al,x): element x^2 in al.
algsub	entity.name.function	algsub(al,x,y): element x-y in al.
algsubalg	entity.name.function	algsubalg(al,B): subalgebra of al with basis B.
algtableinit	entity.name.function	algtableinit(mt, {p=0}): initializes the associative algebra over Q (resp. Fp) defined by the multiplication table mt.
algtensor	entity.name.function	algtensor(al1,al2,{maxord=1}): tensor product of al1 and al2.
algtomatrix	entity.name.function	algtomatrix(al,x,{abs=1}): left multiplication table of x (table algebra or abs=1) or image of x under a splitting of al (CSA and abs=0).
algtrace	entity.name.function	algtrace(al,x,{abs=0}): (reduced) trace of x.
algtype	entity.name.function	algtype(al): type of the algebra al.
alias	entity.name.function	alias(newsym,sym): defines the symbol newsym as an alias for the symbol sym.
allocatemem	keyword.control	allocatemem({s=0}): allocates a new stack of s bytes. doubles the stack if s is omitted.
apply	entity.name.function	apply(f, A): apply function f to each entry in A.
arg	entity.name.function	arg(x): argument of x, such that -pi<arg(x)<=pi.
arity	entity.name.function	arity(C): return the arity of the closure C.
asin	entity.name.function	asin(x): arc sine of x.
asinh	entity.name.function	asinh(x): inverse hyperbolic sine of x.
asympnum	entity.name.function	asympnum(expr,{alpha = 1}): asymptotic expansion of expr assuming it has rational coefficients with reasonable height; alpha is as in limitnum.
asympnumraw	entity.name.function	asympnumraw(expr,N,{alpha = 1}): N+1 first terms of asymptotic expansion of expr as floating point numbers; alpha is as in limitnum.
atan	entity.name.function	atan(x): arc tangent of x.
atanh	entity.name.function	atanh(x): inverse hyperbolic tangent of x.
bernfrac	entity.name.function	bernfrac(n): Bernoulli number B_n, as a rational number.
bernpol	entity.name.function	bernpol(n, {v = 'x}): Bernoulli polynomial B_n, in variable v.
bernreal	entity.name.function	bernreal(n): Bernoulli number B_n, as a real number with the current precision.
bernvec	entity.name.function	bernvec(n): returns a vector containing, as rational numbers, the Bernoulli numbers B_0, B_2, ..., B_{2n}.
besselh1	entity.name.function	besselh1(nu,x): H^1-bessel function of index nu and argument x.
besselh2	entity.name.function	besselh2(nu,x): H^2-bessel function of index nu and argument x.
besseli	entity.name.function	besseli(nu,x): I-bessel function of index nu and argument x.
besselj	entity.name.function	besselj(nu,x): J-bessel function of index nu and argument x.
besseljh	entity.name.function	besseljh(n,x): J-bessel function of index n+1/2 and argument x, where n is a nonnegative integer.
besseljzero	entity.name.function	besseljzero(nu,{k=1}): k-th zero of the J-bessel function of index nu.
besselk	entity.name.function	besselk(nu,x): K-bessel function of index nu and argument x.
besseln	entity.name.function	besseln(nu,x): deprecated alias for bessely.
bessely	entity.name.function	bessely(nu,x): Y-bessel function of index nu and argument x.
besselyzero	entity.name.function	besselyzero(nu,{k=1}): k-th zero of the Y-bessel function of index nu.
bestappr	entity.name.function	bestappr(x, {B}): return a rational approximation to x, whose denominator is limited by B, if present. This function applies to reals, intmods, p-adics, and rationals of course. Otherwise it applies recursively to all components.
bestapprPade	entity.name.function	bestapprPade(x, {B}): returns a rational function approximation to x. This function applies to series, polmods, and rational functions of course. Otherwise it applies recursively to all components.
bestapprnf	entity.name.function	bestapprnf(V,T,{rootT}): T being an integral polynomial and V being a scalar, vector, or matrix, return a reasonable approximation of V with polmods modulo T. The rootT argument, if present, must be an element of polroots(T), i.e. a root of T fixing a complex embedding of Q[x]/(T).
bezout	entity.name.function	bezout(x,y): deprecated alias for gcdext.
bezoutres	entity.name.function	bezoutres(A,B,{v}): deprecated alias for polresultantext.
bigomega	entity.name.function	bigomega(x): number of prime divisors of x, counted with multiplicity.
binary	entity.name.function	binary(x): gives the vector formed by the binary digits of x (x integer).
binomial	entity.name.function	binomial(x,{k}): binomial coefficient x*(x-1)...*(x-k+1)/k! defined for k in Z and any x. If k is omitted and x an integer, return the vector [binomial(x,0),...,binomial(x,x)].
bitand	entity.name.function	bitand(x,y): bitwise "and" of two integers x and y. Negative numbers behave as if modulo big power of 2.
bitneg	entity.name.function	bitneg(x,{n=-1}): bitwise negation of an integers x truncated to n bits. n=-1 means represent infinite sequences of bit 1 as negative numbers. Negative numbers behave as if modulo big power of 2.
bitnegimply	entity.name.function	bitnegimply(x,y): bitwise "negated imply" of two integers x and y, in other words, x BITAND BITNEG(y). Negative numbers behave as if modulo big power of 2.
bitor	entity.name.function	bitor(x,y): bitwise "or" of two integers x and y. Negative numbers behave as if modulo big power of 2.
bitprecision	entity.name.function	bitprecision(x,{n}): if n is present and positive, return x at precision n bits. If n is omitted, return real precision of object x in bits.
bittest	entity.name.function	bittest(x,n): gives bit number n (coefficient of 2^n) of the integer x. Negative numbers behave as if modulo big power of 2.
bitxor	entity.name.function	bitxor(x,y): bitwise "exclusive or" of two integers x and y. Negative numbers behave as if modulo big power of 2.
bnfcertify	entity.name.function	bnfcertify(bnf,{flag = 0}): certify the correctness (i.e. remove the GRH) of the bnf data output by bnfinit. If flag is present, only certify that the class group is a quotient of the one computed in bnf (much simpler in general).
bnfdecodemodule	entity.name.function	bnfdecodemodule(nf,m): given a coded module m as in bnrdisclist, gives the true module.
bnfinit	entity.name.function	bnfinit(P,{flag=0},{tech=[]}): compute the necessary data for future use in ideal and unit group computations, including fundamental units if they are not too large. flag and tech are both optional. flag can be any of 0: default, 1: include all data in algebraic form (compact units). See manual for details about tech.
bnfisintnorm	entity.name.function	bnfisintnorm(bnf,x): compute a complete system of solutions (modulo units of positive norm) of the absolute norm equation N(a)=x, where a belongs to the maximal order of big number field bnf (if bnf is not certified, this depends on GRH).
bnfisnorm	entity.name.function	bnfisnorm(bnf,x,{flag=1}): tries to tell whether x (in Q) is the norm of some fractional y (in bnf). Returns a vector [a,b] where x=Norm(a)*b. Looks for a solution which is a S-unit, with S a certain list of primes (in bnf) containing (among others) all primes dividing x. If bnf is known to be Galois, you may set flag=0 (in this case, x is a norm iff b=1). If flag is nonzero the program adds to S all the primes: dividing flag if flag<0, or less than flag if flag>0. The answer is guaranteed (i.e x norm iff b=1) under GRH, if S contains all primes less than 12.log(disc(Bnf))^2, where Bnf is the Galois closure of bnf.
bnfisprincipal	entity.name.function	bnfisprincipal(bnf,x,{flag=1}): bnf being output by bnfinit, gives [e,t], where e is the vector of exponents on the class group generators and t is the generator of the resulting principal ideal. In particular x is principal if and only if e is the zero vector. flag is optional, whose binary digits mean 1: output [e,t] (only e if unset); 2: increase precision until t can be computed (do not insist if unset); 4: return t in factored form (compact representation).
bnfissunit	entity.name.function	bnfissunit(bnf,sfu,x): this function is obsolete, use bnfisunit.
bnfisunit	entity.name.function	bnfisunit(bnf,x, {U}): bnf being output by bnfinit, give the column vector of exponents of x on the fundamental units and the roots of unity if x is a unit, the empty vector otherwise. If U is present, as given by bnfunits, decompose x on the attached S-units generators.
bnflog	entity.name.function	bnflog(bnf, l): let bnf be attached to a number field F and let l be a prime number. Return the logarithmic l-class group Cl~_F.
bnflogdegree	entity.name.function	bnflogdegree(nf, A, l): let A be an ideal, return exp(deg_F A) the exponential of the l-adic logarithmic degree.
bnflogef	entity.name.function	bnflogef(nf,pr): return [e~, f~] the logarithmic ramification and residue degrees for the maximal ideal pr.
bnfnarrow	entity.name.function	bnfnarrow(bnf): given a big number field as output by bnfinit, gives as a 3-component vector the structure of the narrow class group.
bnfsignunit	entity.name.function	bnfsignunit(bnf): matrix of signs of the real embeddings of the system of fundamental units found by bnfinit.
bnfsunit	entity.name.function	bnfsunit(bnf,S): compute the fundamental S-units of the number field bnf output by bnfinit, S being a list of prime ideals. res[1] contains the S-units, res[5] the S-classgroup.
bnfunits	entity.name.function	bnfunits(bnf,{S}): return the fundamental units of the number field bnf output by bnfinit; if S is present and is a list of prime ideals, compute fundamental S-units instead. The first component of the result contains the S-units, followed by fundamental units, followed by the torsion unit. The result may be used as an optional argument to bnfisunit.
bnrL1	entity.name.function	bnrL1(bnr, {H}, {flag=0}): bnr being output by bnrinit and H being a square matrix defining a congruence subgroup of bnr (the trivial subgroup if omitted), for each character of bnr trivial on this subgroup, compute L(1, chi) (or equivalently the first nonzero term c(chi) of the expansion at s = 0). The binary digits of flag mean 1: if 0 then compute the term c(chi) and return [r(chi), c(chi)] where r(chi) is the order of L(s, chi) at s = 0, or if 1 then compute the value at s = 1 (and in this case, only for nontrivial characters), 2: if 0 then compute the value of the primitive L-function attached to chi, if 1 then compute the value of the L-function L_S(s, chi) where S is the set of places dividing the modulus of bnr (and the infinite places), 3: return also the characters.
bnrchar	entity.name.function	bnrchar(G,g,{v}): returns all characters chi on G such that chi(g[i]) = e(v[i]); if v is omitted, returns all characters that are trivial on the g[i].
bnrclassfield	entity.name.function	bnrclassfield(bnr,{subgp},{flag=0}): bnr being as output by bnrinit, find a relative equation for the class field corresponding to the congruence subgroup described by (bnr,subgp). If flag=0, return a vector of polynomials such that the compositum of the corresponding fields is the class field; if flag=1 return a single relative polynomial; if flag=2 return a single absolute polynomial.
bnrclassno	entity.name.function	bnrclassno(A,{B},{C}): relative degree of the class field defined by A,B,C. [A,{B},{C}] is of type [bnr], [bnr,subgroup], [bnf,modulus], or [bnf,modulus,subgroup]. Faster than bnrinit if only the ray class number is wanted.
bnrclassnolist	entity.name.function	bnrclassnolist(bnf,list): if list is as output by ideallist or similar, gives list of corresponding ray class numbers.
bnrcompositum	entity.name.function	bnrcompositum(A,B): compositum [bnr,H] of the two abelian extensions given by A = [bnr1,H1] and B = [bnr2,H2], where bnr1 and bnr2 are attached to the same base field.
bnrconductor	entity.name.function	bnrconductor(A,{B},{C},{flag=0}): conductor f of the subfield of the ray class field given by A,B,C. flag is optional and can be 0: default, 1: returns [f, Cl_f, H], H subgroup of the ray class group modulo f defining the extension, 2: returns [f, bnr(f), H].
bnrconductorofchar	entity.name.function	bnrconductorofchar(bnr,chi): this function is obsolete, use bnrconductor.
bnrdisc	entity.name.function	bnrdisc(A,{B},{C},{flag=0}): absolute or relative [N,R1,discf] of the field defined by A,B,C. [A,{B},{C}] is of type [bnr], [bnr,subgroup], [bnf, modulus] or [bnf,modulus,subgroup], where bnf is as output by bnfinit, bnr by bnrinit, and subgroup is the HNF matrix of a subgroup of the corresponding ray class group (if omitted, the trivial subgroup). flag is optional whose binary digits mean 1: give relative data; 2: return 0 if modulus is not the conductor.
bnrdisclist	entity.name.function	bnrdisclist(bnf,bound,{arch}): list of discriminants of ray class fields of all conductors up to norm bound. The ramified Archimedean places are given by arch; all possible values are taken if arch is omitted. Supports the alternative syntax bnrdisclist(bnf,list), where list is as output by ideallist or ideallistarch (with units).
bnrgaloisapply	entity.name.function	bnrgaloisapply(bnr, mat, H): apply the automorphism given by its matrix mat to the congruence subgroup H given as a HNF matrix. The matrix mat can be computed with bnrgaloismatrix.
bnrgaloismatrix	entity.name.function	bnrgaloismatrix(bnr,aut): return the matrix of the action of the automorphism aut of the base field bnf.nf on the generators of the ray class field bnr.gen; aut can be given as a polynomial, or a vector of automorphisms or a galois group as output by galoisinit, in which case a vector of matrices is returned (in the later case, only for the generators aut.gen).
bnrinit	entity.name.function	bnrinit(bnf,f,{flag=0},{cycmod}): given a bnf as output by bnfinit and a modulus f, initializes data linked to the ray class group structure corresponding to this module. flag is optional, and can be 0: default, 1: compute also the generators. If the positive integer cycmod is present, only compute the ray class group modulo cycmod-th powers.
bnrisconductor	entity.name.function	bnrisconductor(A,{B},{C}): returns 1 if the modulus is the conductor of the subfield of the ray class field given by A,B,C (see bnrdisc), and 0 otherwise. Slightly faster than bnrconductor if this is the only desired result.
bnrisgalois	entity.name.function	bnrisgalois(bnr, gal, H): check whether the class field attached to the subgroup H is Galois over the subfield of bnr.nf fixed by the Galois group gal, which can be given as output by galoisinit, or as a matrix or a vector of matrices as output by bnrgaloismatrix. The ray class field attached to bnr need to be Galois, which is not checked.
bnrisprincipal	entity.name.function	bnrisprincipal(bnr,x,{flag=1}): bnr being output by bnrinit and x being an ideal coprime to bnr.mod, returns [v,alpha], where v is the vector of exponents on the ray class group generators and alpha is the generator of the resulting principal ideal. If (optional) flag is set to 0, output only v.
bnrmap	entity.name.function	bnrmap(A, B): if A and B are bnr structures for the same bnf attached to moduli mA and mB with mB | mA, return the canonical surjection from A to B. Alternatively, if A is a map from bnrmap and B is a congruence subgroup or ray class character modulo mA, return the corresponding object on Cl(mB).
bnrrootnumber	entity.name.function	bnrrootnumber(bnr,chi,{flag=0}): returns the so-called Artin Root Number, i.e. the constant W appearing in the functional equation of the Hecke L-function attached to chi. Set flag = 1 if the character is known to be primitive.
bnrstark	entity.name.function	bnrstark(bnr,{subgroup}): bnr being as output by bnrinit, finds a relative equation for the class field corresponding to the module in bnr and the given congruence subgroup (the trivial subgroup if omitted) using Stark's units. The ground field and the class field must be totally real.
break	keyword.control	break({n=1}): interrupt execution of current instruction sequence, and exit from the n innermost enclosing loops.
breakpoint	keyword.control	breakpoint(): interrupt the program and enter the breakloop. The program continues when the breakloop is exited.
call	entity.name.function	call(f, A): A being a vector, evaluates f(A[1],...,A[#A]).
ceil	entity.name.function	ceil(x): ceiling of x = smallest integer >= x.
centerlift	entity.name.function	centerlift(x,{v}): centered lift of x. Same as lift except for intmod and padic components.
characteristic	entity.name.function	characteristic(x): characteristic of the base ring over which x is defined.
charconj	entity.name.function	charconj(cyc,chi): given a finite abelian group (by its elementary divisors cyc) and a character chi, return the conjugate character.
chardiv	entity.name.function	chardiv(cyc, a,b): given a finite abelian group (by its elementary divisors cyc) and two characters a and b, return the character a/b.
chareval	entity.name.function	chareval(G, chi, x, {z}): given an abelian group structure affording a discrete logarithm method, e.g. G = znstar(N,1) or a bnr structure, let x be an element of G and let chi be a character of G. This function returns the value of chi at x, where the encoding depends on the optional argument z; if z is omitted, we fix a canonical o-th root of 1, zeta_o, where o is the character order and return the rational number c/o where chi(x) = (zeta_o)^c.
chargalois	entity.name.function	chargalois(cyc,{ORD}): let cyc represent a finite abelian group G by its elementary divisors cyc, return a list of representatives for the Galois orbits of characters of G. If ORD is present, select characters depending on their orders: if ORD is a t_INT, restrict to orders less than this bound; if ORD is a t_VEC or t_VECSMALL, restrict to orders in the list.
charker	entity.name.function	charker(cyc,chi): given a finite abelian group (by its elementary divisors cyc) and a character chi, return its kernel.
charmul	entity.name.function	charmul(cyc, a,b): given a finite abelian group (by its elementary divisors cyc) and two characters a and b, return the product character ab.
charorder	entity.name.function	charorder(cyc,chi): given a finite abelian group (by its elementary divisors cyc) and a character chi, return the order of chi.
charpoly	entity.name.function	charpoly(A,{v='x},{flag=5}): det(v*Id-A)=characteristic polynomial of the matrix or polmod A. flag is optional and ignored unless A is a matrix; it may be set to 0 (Le Verrier), 1 (Lagrange interpolation), 2 (Hessenberg form), 3 (Berkowitz), 4 (modular) if A is integral, or 5 (default, choose best method). Algorithms 0 (Le Verrier) and 1 (Lagrange) assume that n! is invertible, where n is the dimension of the matrix.
charpow	entity.name.function	charpow(cyc, a,n): given a finite abelian group (by its elementary divisors cyc) a character a and an integer n return the character a^n.
chinese	entity.name.function	chinese(x,{y}): x,y being both intmods (or polmods) computes z in the same residue classes as x and y.
cmp	entity.name.function	cmp(x,y): compare two arbitrary objects x and y (1 if x>y, 0 if x=y, -1 if x<y). The function is used to implement sets, and has no useful mathematical meaning.
component	entity.name.function	component(x,n): the n'th component of the internal representation of x. For vectors or matrices, it is simpler to use x[]. For list objects such as nf, bnf, bnr or ell, it is much easier to use member functions starting with ".".
concat	entity.name.function	concat(x,{y}): concatenation of x and y, which can be scalars, vectors or matrices, or lists (in this last case, both x and y have to be lists). If y is omitted, x has to be a list or row vector and its elements are concatenated.
conj	entity.name.function	conj(x): the algebraic conjugate of x.
conjvec	entity.name.function	conjvec(z): conjugate vector of the algebraic number z.
content	entity.name.function	content(x,{D}): gcd of all the components of x, when this makes sense.
contfrac	entity.name.function	contfrac(x,{b},{nmax}): continued fraction expansion of x (x rational,real or rational function). b and nmax are both optional, where b is the vector of numerators of the continued fraction, and nmax is a bound for the number of terms in the continued fraction expansion.
contfraceval	entity.name.function	contfraceval(CF,t,{lim=-1}): given a continued fraction CF from contfracinit, evaluate the first lim terms of the continued fraction at t (all terms if lim is negative or omitted).
contfracinit	entity.name.function	contfracinit(M,{lim = -1}): given M representing the power series S = sum_{n>=0} M[n+1]z^n, transform it into a continued fraction suitable for evaluation.
contfracpnqn	entity.name.function	contfracpnqn(x, {n=-1}): [p_n,p_{n-1}; q_n,q_{n-1}] corresponding to the continued fraction x. If n >= 0 is present, returns all convergents from p_0/q_0 up to p_n/q_n.
core	entity.name.function	core(n,{flag=0}): unique squarefree integer d dividing n such that n/d is a square. If (optional) flag is nonzero, output the two-component row vector [d,f], where d is the unique squarefree integer dividing n such that n/d=f^2 is a square.
coredisc	entity.name.function	coredisc(n,{flag=0}): discriminant of the quadratic field Q(sqrt(n)). If (optional) flag is nonzero, output a two-component row vector [d,f], where d is the discriminant of the quadratic field Q(sqrt(n)) and n=df^2. f may be a half integer.
cos	entity.name.function	cos(x): cosine of x.
cosh	entity.name.function	cosh(x): hyperbolic cosine of x.
cotan	entity.name.function	cotan(x): cotangent of x.
cotanh	entity.name.function	cotanh(x): hyperbolic cotangent of x.
dbg_down	keyword.control	dbg_down({n=1}): (break loop) go down n frames. Cancel a previous dbg_up.
dbg_err	entity.name.function	dbg_err(): (break loop) return the error data of the current error, if any.
dbg_up	keyword.control	dbg_up({n=1}): (break loop) go up n frames, which allows to inspect data of the parent function.
dbg_x	entity.name.function	dbg_x(A,{n}): print inner structure of A, complete if n is omitted, up to level n otherwise. Intended for debugging.
default	keyword.control	default({key},{val}): returns the current value of the default key. If val is present, set opt to val first. If no argument is given, print a list of all defaults as well as their values.
denominator	entity.name.function	denominator(f,{D}): denominator of f.
deriv	entity.name.function	deriv(x,{v}): derivative of x with respect to v, or to the main variable of x if v is omitted.
derivn	entity.name.function	derivn(x,n,{v}): n-th derivative of x with respect to v, or to the main variable of x if v is omitted.
derivnum	keyword.control	derivnum(X=a,expr,{ind=1}): numerical derivation of expr with respect to X at X = a. The order of derivation is given by parameter 'ind', which can be a vector.
diffop	entity.name.function	diffop(x,v,d,{n=1}): apply the differential operator D to x, where D is defined by D(v[i])=d[i], where v is a vector of variable names. D is 0 for variables outside of v unless they appear as modulus of a POLMOD. If the optional parameter n is given, return D^n(x) instead.
digits	entity.name.function	digits(x,{b}): gives the vector formed by the digits of x in base b.
dilog	entity.name.function	dilog(x): dilogarithm of x.
dirdiv	entity.name.function	dirdiv(x,y): division of the Dirichlet series x by the Dirichlet series y.
direuler	keyword.control	direuler(p=a,b,expr,{c}): Dirichlet Euler product of expression expr from p=a to p=b, limited to b terms. Expr should be a polynomial or rational function in p and X, and X is understood to mean p^(-s). If c is present, output only the first c terms.
